Type                                  Module                      Label             Process   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWoldDMwLT"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauFootprintCorrection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauFootprintCorrectiondR03"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauNeutralIsoPtSum"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauNeutralIsoPtSumWeight"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauNeutralIsoPtSumWeightdR03"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauNeutralIsoPtSumdR03"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauPUcorrPtSum"       ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauPhotonPtSumOutsideSignalCone"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauPhotonPtSumOutsideSignalConedR03"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw"   "category"        "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1DBnewDMwLTraw"   "category"        "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw"   "category"        "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1PWdR03oldDMwLTraw"   "category"        "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw"   "category"        "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw"   "category"        "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA6rawElectronRejection"   "category"        "HLT"     
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "HLT"     
vector<DcsStatus>                     "scalersRawToDigi"          ""                "HLT"     
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "HLT"     
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "HLT"     
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "HLT"     
vector<LumiScalers>                   "scalersRawToDigi"          ""                "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<TotemFEDInfo>                  "totemRPRawToDigi"          "RP"              "HLT"     
vector<double>                        "ak4GenJets"                "rhos"            "HLT"     
vector<double>                        "ak4GenJetsNoNu"            "rhos"            "HLT"     
vector<double>                        "ak4PFJetsCHS"              "rhos"            "HLT"     
vector<double>                        "ak8GenJets"                "rhos"            "HLT"     
vector<double>                        "ak8GenJetsNoNu"            "rhos"            "HLT"     
vector<double>                        "ak8PFJetsCHS"              "rhos"            "HLT"     
vector<double>                        "ak8PFJetsCHSSoftDrop"      "rhos"            "HLT"     
vector<double>                        "cmsTopTagPFJetsCHS"        "rhos"            "HLT"     
vector<double>                        "ak4GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak4GenJetsNoNu"            "sigmas"          "HLT"     
vector<double>                        "ak4PFJetsCHS"              "sigmas"          "HLT"     
vector<double>                        "ak8GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak8GenJetsNoNu"            "sigmas"          "HLT"     
vector<double>                        "ak8PFJetsCHS"              "sigmas"          "HLT"     
vector<double>                        "ak8PFJetsCHSSoftDrop"      "sigmas"          "HLT"     
vector<double>                        "cmsTopTagPFJetsCHS"        "sigmas"          "HLT"     
vector<edm::ErrorSummaryEntry>        "logErrorHarvester"         ""                "HLT"     
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowPtrs"          ""                "HLT"     
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowTmpPtrs"       ""                "HLT"     
vector<float>                         "generalTracks"             "MVAValues"       "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<reco::BasicJet>                "ak5CastorJets"             ""                "HLT"     
vector<reco::BasicJet>                "ak7CastorJets"             ""                "HLT"     
vector<reco::BasicJet>                "ak8PFJetsCHSSoftDrop"      ""                "HLT"     
vector<reco::BasicJet>                "cmsTopTagPFJetsCHS"        ""                "HLT"     
vector<reco::CaloCluster>             "hfEMClusters"              ""                "HLT"     
vector<reco::CaloCluster>             "particleFlowEGamma"        "EBEEClusters"    "HLT"     
vector<reco::CaloCluster>             "particleFlowEGamma"        "ESClusters"      "HLT"     
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "HLT"     
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "HLT"     
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "HLT"     
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "HLT"     
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALPreshower"   "HLT"     
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "HLT"     
vector<reco::CaloJet>                 "ak4CaloJets"               ""                "HLT"     
vector<reco::CaloMET>                 "caloMet"                   ""                "HLT"     
vector<reco::CaloMET>                 "caloMetBE"                 ""                "HLT"     
vector<reco::CaloMET>                 "caloMetBEFO"               ""                "HLT"     
vector<reco::CaloMET>                 "caloMetM"                  ""                "HLT"     
vector<reco::CastorTower>             "CastorTowerReco"           ""                "HLT"     
vector<reco::Conversion>              "allConversions"            ""                "HLT"     
vector<reco::Conversion>              "conversions"               ""                "HLT"     
vector<reco::Conversion>              "particleFlowEGamma"        ""                "HLT"     
vector<reco::Conversion>              "uncleanedOnlyAllConversions"   ""                "HLT"     
vector<reco::DeDxHitInfo>             "dedxHitInfo"               ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<reco::GsfElectron>             "gedGsfElectrons"           ""                "HLT"     
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "HLT"     
vector<reco::GsfElectronCore>         "gedGsfElectronCores"       ""                "HLT"     
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "HLT"     
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "HLT"     
vector<reco::HFEMClusterShape>        "hfEMClusters"              ""                "HLT"     
vector<reco::JPTJet>                  "JetPlusTrackZSPCorJetAntiKt4"   ""                "HLT"     
vector<reco::Muon>                    "muons"                     ""                "HLT"     
vector<reco::Muon>                    "muonsFromCosmics"          ""                "HLT"     
vector<reco::Muon>                    "muonsFromCosmics1Leg"      ""                "HLT"     
vector<reco::PFCandidate>             "particleFlow"              ""                "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughNeutralHadrons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedTrackerAndGlobalMuons"   "HLT"     
vector<reco::PFJet>                   "ak4PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "ak4PFJetsCHS"              ""                "HLT"     
vector<reco::PFJet>                   "ak8PFJetsCHS"              ""                "HLT"     
vector<reco::PFJet>                   "ak8PFJetsCHSSoftDrop"      "SubJets"         "HLT"     
vector<reco::PFJet>                   "cmsTopTagPFJetsCHS"        "caTopSubJets"    "HLT"     
vector<reco::PFMET>                   "pfChMet"                   ""                "HLT"     
vector<reco::PFMET>                   "pfMet"                     ""                "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitECAL"    "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitHBHE"    "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitHF"      "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitHO"      "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitPS"      "Cleaned"         "HLT"     
vector<reco::PFTau>                   "hpsPFTauProducer"          ""                "HLT"     
vector<reco::PFTauTransverseImpactParameter>    "hpsPFTauTransverseImpactParameters"   "PFTauTIP"        "HLT"     
vector<reco::Photon>                  "gedPhotons"                ""                "HLT"     
vector<reco::Photon>                  "photons"                   ""                "HLT"     
vector<reco::PhotonCore>              "gedPhotonCore"             ""                "HLT"     
vector<reco::PhotonCore>              "photonCore"                ""                "HLT"     
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "HLT"     
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "HLT"     
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "HLT"     
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "HLT"     
vector<reco::RecoChargedRefCandidate>    "trackRefsForJets"          ""                "HLT"     
vector<reco::RecoEcalCandidate>       "hfRecoEcalCandidate"       ""                "HLT"     
vector<reco::RecoTauPiZero>           "hpsPFTauProducer"          "pizeros"         "HLT"     
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "HLT"     
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "HLT"     
vector<reco::SuperCluster>            "hfEMClusters"              ""                "HLT"     
vector<reco::SuperCluster>            "particleFlowEGamma"        ""                "HLT"     
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "HLT"     
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "HLT"     
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "HLT"     
vector<reco::Track>                   "ckfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "ckfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "conversionStepTracks"      ""                "HLT"     
vector<reco::Track>                   "cosmicMuons"               ""                "HLT"     
vector<reco::Track>                   "cosmicMuons1Leg"           ""                "HLT"     
vector<reco::Track>                   "displacedGlobalMuons"      ""                "HLT"     
vector<reco::Track>                   "displacedStandAloneMuons"   ""                "HLT"     
vector<reco::Track>                   "displacedTracks"           ""                "HLT"     
vector<reco::Track>                   "generalTracks"             ""                "HLT"     
vector<reco::Track>                   "globalMuons"               ""                "HLT"     
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "HLT"     
vector<reco::Track>                   "standAloneMuons"           ""                "HLT"     
vector<reco::Track>                   "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "HLT"     
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "HLT"     
vector<reco::Track>                   "tevMuons"                  "default"         "HLT"     
vector<reco::Track>                   "tevMuons"                  "dyt"             "HLT"     
vector<reco::Track>                   "tevMuons"                  "firstHit"        "HLT"     
vector<reco::Track>                   "tevMuons"                  "picky"           "HLT"     
vector<reco::TrackExtra>              "displacedGlobalMuons"      ""                "HLT"     
vector<reco::TrackExtra>              "displacedStandAloneMuons"   ""                "HLT"     
vector<reco::TrackExtra>              "globalMuons"               ""                "HLT"     
vector<reco::TrackExtra>              "refittedStandAloneMuons"   ""                "HLT"     
vector<reco::TrackExtra>              "standAloneMuons"           ""                "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "default"         "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "dyt"             "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "firstHit"        "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "picky"           "HLT"     
vector<reco::TrackExtrapolation>      "trackExtrapolator"         ""                "HLT"     
vector<reco::TrackJet>                "ak4TrackJets"              ""                "HLT"     
vector<reco::Vertex>                  "inclusiveSecondaryVertices"   ""                "HLT"     
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "HLT"     
vector<reco::Vertex>                  "offlinePrimaryVerticesWithBS"   ""                "HLT"     
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Kshort"          "HLT"     
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Lambda"          "HLT"     
vector<reco::VertexCompositePtrCandidate>    "inclusiveCandidateSecondaryVertices"   ""                "HLT"     
vector<reco::VertexCompositePtrCandidate>    "inclusiveCandidateSecondaryVerticesCvsL"   ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
